Kanji;Kana;Romaji;Translation;Part of Speech;Translation RU
伸びる;のびる;nobiru;to stretch, to extend;Ichidan verb, Intransitive verb;растягиваться, чтобы расширить
軒;けん;noki;eaves;Noun;наслаждение
残り;のこり;nokori;remnant, residue;Noun, Noun which may take the genitive case particle 'no';Остаток, остаток
残す;のこす;nokosu;to leave (behind);Godan verb with 'su' ending, Transitive verb;уйти (позади)
乗せる;のせる;noseru;to place on;Ichidan verb, Transitive verb;поместить на
能;のう;nou;talent, gift, function;Noun;Талант, подарок, функция
農業;のうぎょう;nougyou;agriculture;Noun;сельское хозяйство
農家;のうか;nouka;farmer, farm family;Noun;Фермер, фермерская семья
農民;のうみん;noumin;farmers, peasants;Noun, Noun which may take the genitive case particle 'no';Фермеры, крестьяне
能力;のうりょく;nouryoku;ability;Noun;способность
除く;のぞく;nozoku;to exclude, to except;Godan verb with 'ku' ending, Transitive verb;исключить, кроме как
望み;のぞみ;nozomi;hope, desire, wish;Noun;Надежда, желание, желание
望む;のぞむ;nozomu;to desire, to wish for;Godan verb with 'mu' ending, Transitive verb;желать, желать
抜ける;ぬける;nukeru;to come out, to fall out;Ichidan verb, Intransitive verb;выйти, чтобы выпасть
抜く;ぬく;nuku;to extract, to omit;Godan verb with 'ku' ending, Transitive verb;извлечь, чтобы опустить
布;ぬの;nuno;cloth;Noun;ткани
入学;にゅうがく;nyuugaku;matriculation;Noun, Suru verb, Intransitive verb;поступок
入院;にゅういん;nyuuin;hospitalization;Noun, Suru verb, Intransitive verb;госпитализация
入場;にゅうじょう;nyuujou;entrance, admission;Noun, Suru verb, Intransitive verb;Вход, прием
入力;にゅうりょく;nyuuryoku;input, (data) entry​;Noun, Suru verb, Transitive verb;Ввод, (данные) запись
入社;にゅうしゃ;nyuusha;joining a company;Noun, Suru verb, Intransitive verb;Присоединяясь к компании
溺れる;おぼれる;oboreru;to drown;Ichidan verb, Intransitive verb;утонуть
帯;おび;obi;obi, kimono sash;Noun;Оби, кимоно ссошь
落ち着く;おちつく;ochitsuku;to calm down, to compose oneself;Godan verb with 'ku' ending, Intransitive verb;успокоиться, сочинять себя
穏やか;おだやか;odayaka;calm, gentle, quiet;Na-adjective (keiyodoshi);спокойный, нежный, тихий
終える;おえる;oeru;to finish;Ichidan verb, Transitive verb, Auxiliary verb;чтобы закончить
老い;おい;oi;old age, old person;Noun;старика, старый человек
丘;おか;oka;hill, height;Noun;холм, высота
沖;おき;oki;open sea;Noun;Открытое море
起こる;おこる;okoru;to occur, to happen;Godan verb with 'ru' ending, Intransitive verb;произойти, произойти
奥;おく;oku;inner part;Noun;Внутренняя часть
贈る;おくる;okuru;to give (as a gift);Godan verb with 'ru' ending, Transitive verb;сделать (как подарок)
主に;おもに;omo ni;mainly, primarily;Adverb (fukushi);в основном, в первую очередь
思い出;おもいで;omoide;memories;Noun;воспоминания
思わず;おもわず;omowazu;unintentionally;Adverb (fukushi);непреднамеренно
恩;おん;on;favor, debt of gratitude;Noun;пользоваться, долг благодарности
温暖;おんだん;ondan;warm, mild;Na-adjective (keiyodoshi), Noun;теплый, мягкий
温度;おんど;ondo;temperature;Noun;температура
鬼;おに;oni;demon;Noun;демон
温泉;おんせん;onsen;hot spring​;Noun;Горячий источник
追い付く;おいつく;oitsuku;to catch up with;Godan verb with 'ku' ending, Intransitive verb;чтобы догнать
大雨;おおあめ;ooame;heavy rain​;Noun;тяжелый дождь
大型;おおがた;oogata;large, larged-size;Noun which may take the genitive case particle 'no', Noun;Большой, большой размер
大いに;おおいに;ooi ni;very, much, greatly;Adverb (fukushi);Очень, очень, очень
覆う;おおう;oou;to cover, to conceal;Godan verb with 'u' ending, Transitive verb;покрыть, скрывать
大家;おおや;ooya;landlord, landlady;Noun;Арендодатель, домовладельца
大雪;おおゆき;ooyuki;heavy snow​;Noun;тяжелый снег
下す;くだす;orosu;to lower, to drop;Godan verb with 'su' ending, Transitive verb;чтобы опустить, упасть
降ろす;おろす;orosu;to take down, to unload;Godan verb with 'su' ending, Transitive verb;снять, чтобы разгрузить
収める;おさめる;osameru;to dedicate, to supply;Ichidan verb, Transitive verb;посвятить, поставить
幼い;おさない;osanai;very young, childish;I-adjective (keiyoushi);Очень молодой, по -детски
抑える;おさえる;osaeru;to restrain, to control;Ichidan verb, Transitive verb;сдерживать, контролировать
汚染;おせん;osen;pollution, contamination;Noun, Suru verb, Transitive verb, Intransitive verb;Загрязнение, загрязнение
劣る;おとる;otoru;to be inferior to;Godan verb with 'ru' ending, Intransitive verb;быть хуже
恐らく;おそらく;osoraku;perhaps, likely;Adverb (fukushi);Возможно, вероятно
恐れる;おそれる;osoreru;to fear, to be afraid of;Ichidan verb, Transitive verb;бояться, бояться
恐ろしい;おそろしい;osoroshii;terrible, dreadful;I-adjective (keiyoushi);ужасно, ужасно
追う;おう;ou;to chase, to run after;Godan verb with 'u' ending, Transitive verb;преследовать, бежать за
応募;おうぼ;oubo;application, enlistment;Noun, Suru verb, Transitive verb, Intransitive verb;Приложение, зачисление
応援;おうえん;ouen;aid, assistance, help;Noun, Suru verb, Transitive verb;помощь, помощь, помощь
往復;おうふく;oufuku;making a round trip;Noun, Suru verb, Intransitive verb;совершать поездку туда и обратно
王/王様;おう;ou/ousama;king, ruler;Noun, Noun, used as a suffix;Король, правитель
横断;おうだん;oudan;crossing, traverse;Noun, Suru verb, Intransitive verb;пересечение, Траверс
王子;おうじ;ouji;prince;Noun;принц
応じる;おうじる;oujiru;to respond, to comply;Ichidan verb, Intransitive verb;ответить, чтобы соблюдать
応用;おうよう;ouyou;putting to practical use​;Noun, Suru verb, Transitive verb;вводить практическое использование
終;おわり;owari;the end;Noun;конец
及ぼす;およぼす;oyobosu;to exert, to cause;Godan verb with 'su' ending, Transitive verb;Чтобы вызвать, вызвать
泳ぎ;およぎ;oyogi;swimming;Noun;плавание
凡そ;およそ;oyoso;about, roughly;Adverb (fukushi);о, примерно
楽;らく;raku;comfort, ease;Noun, Na-adjective (keiyodoshi);комфорт, легкость
例;れい;rei;example, case;Noun;пример, случай
礼儀;れいぎ;reigi;manners, courtesy;Noun;Манеры, любезность
冷静;れいせい;reisei;calm, composure;Noun, Na-adjective (keiyodoshi);спокойный, самообладание
連絡先;れんらくさき;renrakusaki;contact address​;Noun;Контактный адрес
練習;れんしゅう;renshuu;practice, practicing;Noun, Suru verb, Transitive verb;практика, практика
連想;れんそう;rensou;association of ideas;Noun, Suru verb, Transitive verb;Ассоциация идей
連続;れんぞく;renzoku;serial, consecutive;Noun, Suru verb, Transitive verb, Intransitive verb;серийный, последовательный
列車;れっしゃ;ressha;train (ordinary);Noun;поезд (обычный)
列;れつ;retsu;queue, line;Noun;очередь, линия
利益;りえき;rieki;profit, gains;Noun;Прибыль, прибыль
理解;りかい;rikai;understanding, comprehension;Noun, Suru verb, Transitive verb;понимание, понимание
離婚;りこん;rikon;divorce;Noun, Suru verb, Intransitive verb;развод
利口;りこう;rikou;clever, intelligent;Na-adjective (keiyodoshi), Noun;умный, умный
立派;りっぱ;rippa;splendid, fine;Na-adjective (keiyodoshi);великолепно, хорошо
理想;りそう;risou;ideal;Noun, Noun which may take the genitive case particle 'no';идеал
率;りつ;ritsu;rate, ratio;Noun, Noun, used as a suffix;скорость, соотношение
利用者;りようしゃ;riyousha;user, consumer​;Noun;Пользователь, потребитель
論文;ろんぶん;ronbun;thesis, essay;Noun;Тезис, эссе
論じる;ろんじる;ronjiru;to argue, to debate;Ichidan verb, Transitive verb;спорить, обсудить
論争;ろんそう;ronsou;controversy, dispute;Noun, Suru verb, Intransitive verb;Спор, спор
労働;ろうどう;roudou;manual labor, work;Noun, Suru verb, Intransitive verb;ручной труд, работа
老人;ろうじん;roujin;the aged, old person;Noun;Старый, старый человек
量;りょう;ryou;quantity, amount;Noun, Noun, used as a suffix;количество, сумма
両替;りょうがえ;ryougae;change, money exchange;Noun, Suru verb, Transitive verb;Изменения, обмен деньгами
料金;りょうきん;ryoukin;fee, charge, fare;Noun;Плата, плата, тариф
領収書;りょうしゅうしょ;ryoushuusho;hand-written receipt​;Noun;Ручная написанная квитанция
留学;りゅうがく;ryuugaku;studying abroad;Noun, Suru verb, Intransitive verb;учится за границей
流行;りゅうこう;ryuukou;fashion, vogue;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no';Мода, Vogue
差;さ;sa;difference, variation;Noun, Noun, used as a suffix;разница, вариация
砂漠;さばく;sabaku;desert;Noun;пустыня
差別;さべつ;sabetsu;discrimination;Noun, Suru verb, Transitive verb;дискриминация
作業;さぎょう;sagyou;work, operation;Noun, Suru verb, Intransitive verb;работа, операция
作法;さほう;sahou;manners, etiquette;Noun;манеры, поведение, этикет
裁判;さいばん;saiban;trial, judgement;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';Суд, решение
最上;さいじょう;saijou;best;Noun which may take the genitive case particle 'no', Noun;	~[no] высший, лучший
参加者;さんかしゃ;sankasha;participant, entrant​;Noun;участник
最高;さいこう;saikou;highest, supreme;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;максимум, ~[no] наивысший, максимальный; верховный, воскл. отлично!, классно!, лучше не бывает
才能;さいのう;sainou;talent, ability;Noun;талант, дар, способности, ~no aru талантливый, одарённый
最終;さいしゅう;saishuu;last, final;Noun which may take the genitive case particle 'no', Noun;~[no] последний, заключительный, окончательный
最低;さいてい;saitei;least, lowest, worst;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;~[no] самый низкий, минимальный, ~de как минимум, самое меньшее, разг. подлый, низкий, отвратительный
幸い;さいわい;saiwai;happiness, luckily;Na-adjective (keiyodoshi), Noun;счастье, благополучие, удача
境;さかい;sakai;border, boundery;Noun; граница, край, местность, состояние, положение
逆らう;さからう;sakarau;to go against, to oppose;Godan verb with 'u' ending, Intransitive verb;идти против, противостоять
盛り;さかり;sakari;peak, height;Noun, Noun, used as a suffix;расцвет; разгар
叫ぶ;さけぶ;sakebu;to shout, to cry;Godan verb with 'bu' ending, Intransitive verb;кричать, плакать
避ける;さける;sakeru;to avoid, to ward off;Ichidan verb, Transitive verb;чтобы избежать, чтобы отразить
作家;さっか;sakka;author, writer;Noun;автор, писатель
作曲;さっきょく;sakkyoku;composition;Noun, Suru verb, Transitive verb, Intransitive verb;композиция
作品;さくひん;sakuhin;work, production;Noun;работа, производство
作物;さくもつ;sakumotsu;produce, crops;Noun;производить, культуры
桜;さくら;sakura;cherry blossom;Noun;вишневый цвет
覚ます;さます;samasu;to awaken;Godan verb with 'su' ending, Transitive verb;чтобы пробудить
覚める;さめる;sameru;to wake up;Ichidan verb, Intransitive verb;проснуться
様々;さまざま;samazama;varied, various;Na-adjective (keiyodoshi), Noun;разнообразны, разнообразны
参加;さんか;sanka;participation;Noun, Suru verb, Intransitive verb;участие
参考;さんこう;sankou;reference, consultation;Noun;Ссылка, консультация
賛成;さんせい;sansei;approval, agreement;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no';утверждение, соглашение
酸素;さんそ;sanso;oxygen;Noun;кислород
更に;さらに;sara ni;furthermore, again;Adverb (fukushi), Conjunction;Кроме того, снова
去る;さる;saru;to leave, to go away;Godan verb with 'ru' ending, Intransitive verb;уйти, уйти
猿;さる;saru;monkey;Noun;обезьяна
支える;ささえる;sasaeru;to support, to prop;Ichidan verb, Transitive verb;Поддержать, чтобы опорить
誘う;さそう;sasou;to invite, to call for;Godan verb with 'u' ending, Transitive verb;пригласить, вызвать
指す;さす;sasu;to point, to indicate;Godan verb with 'su' ending, Transitive verb;Чтобы указать
偖;さて;sate;well, now, then;Conjunction;Ну, теперь, тогда
札;さつ;satsu;note, paper money;Noun, Noun, used as a suffix;Примечание, бумажные деньги
騒ぎ;さわぎ;sawagi;uproar, disturbance;Noun, Noun, used as a suffix;Шорость, беспорядки
左右;さゆう;sayuu;left and right, control;Noun;слева и справа, контроль
正;せい;sei;true, regular;Noun, Noun which may take the genitive case particle 'no';Правда, регулярно
性;せい;sei;gender;Noun;пол
所為;せい;sei;consequence, result, blame;Noun;следствие, результат, вина
製;せい;sei;-made, make​;Noun, used as a suffix, Noun;-Маде, сделай
性別;せいべつ;seibetsu;gender;Noun;пол
生物;せいぶつ;seibutsu;living things;Noun;Живые существа
成長;せいちょう;seichou;growth, grow to adulthood;Noun, Suru verb, Intransitive verb;рост, расти до взрослой жизни
制度;せいど;seido;system, institution;Noun, Noun which may take the genitive case particle 'no';Система, учреждение
政府;せいふ;seifu;government, administration;Noun;правительство, администрация
制服;せいふく;seifuku;uniform;Noun;униформа
制限;せいげん;seigen;restriction, restraint;Noun, Suru verb, Transitive verb;Ограничение, сдержанность
製品;せいひん;seihin;manufactured goods;Noun;Производственные товары
政治家;せいじか;seijika;politician, statesman​;Noun;Политик, государственный деятель
成人;せいじん;seijin;adult;Noun;взрослый
正常;せいじょう;seijou;normalcy, normality;Na-adjective (keiyodoshi), Noun;Нормальность, нормальность
正解;せいかい;seikai;correct, right;Noun, Suru verb, Transitive verb, Intransitive verb;правильно, верно
性格;せいかく;seikaku;character, personality;Noun;характер, личность
正確;せいかく;seikaku;accurate, punctual;Na-adjective (keiyodoshi), Noun;Точно, пунктуально
清潔;せいけつ;seiketsu;clean, sanitary;Na-adjective (keiyodoshi), Noun;Чистый, санитарный
世紀;せいき;seiki;century, era;Noun;век, эпоха
成功;せいこう;seikou;success, hit;Noun, Suru verb, Intransitive verb;Успех, Хит
請求;せいきゅう;seikyuu;claim, demand, charge;Noun, Suru verb, Transitive verb;требование, спрос, обвинение
生命;せいめい;seimei;life, existence;Noun;жизнь, существование
青年;せいねん;seinen;youth, young man;Noun;Молодежь, молодой человек
整理;せいり;seiri;sorting, arrangement;Noun, Suru verb, Transitive verb;Сортировка, договоренность
生産;せいさん;seisan;production, manufacture;Noun, Suru verb, Transitive verb;Производство, производство
成績;せいせき;seiseki;results, grade;Noun;Результаты, класс
正式;せいしき;seishiki;official, formality;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;официальная, формальность
精神;せいしん;seishin;spirit, heart, mind;Noun;Дух, сердце, разум
精々;せいぜい;seizei;at the most, at best;Adverb (fukushi);в лучшем случае
製造;せいぞう;seizou;manufacture, production;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';Производство, производство
世間;せけん;seken;world, society;Noun;Мир, общество
咳;せき;seki;cough;Noun;кашель
責任;せきにん;sekinin;duty, responsibility;Noun;долг, ответственность
石炭;せきたん;sekitan;coal;Noun;уголь
石油;せきゆ;sekiyu;oil, petroleum;Noun;масло, нефть
設計;せっけい;sekkei;plan, design, layout;Noun, Suru verb, Transitive verb;план, дизайн, макет
積極的;せっきょくてき;sekkyokuteki;assertive, positive;Na-adjective (keiyodoshi);напористый, положительный
責める;せめる;semeru;to blame, to condemn;Ichidan verb, Transitive verb;винить, осудить
宣伝;せんでん;senden;publicity, advertisement;Noun, Suru verb, Transitive verb;реклама, реклама
先日;せんじつ;senjitsu;the other day;Noun, Adverb (fukushi);на днях
専攻;せんこう;senkou;major subject;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';крупный предмет
専門;せんもん;senmon;specialty, area of expertise​;Noun;специальность, область знаний
専門家;せんもんか;senmonka;specialist, expert;Noun;специалист, эксперт
選手;せんしゅ;senshu;player, team member;Noun;Игрок, член команды
選択;せんたく;sentaku;selection, choice;Noun, Suru verb, Transitive verb;выбор, выбор
説;せつ;setsu;theory;Noun, Noun, used as a suffix;теория
設備;せつび;setsubi;equipment, device;Noun, Suru verb, Transitive verb;оборудование, устройство
説明会;せつめいかい;setsumeikai;information session, briefing;Noun;Информационная сессия, брифинг
節約;せつやく;setsuyaku;economizing, saving;Noun, Suru verb, Transitive verb;экономить, экономить
喋る;しゃべる;shaberu;to talk, to chat;Godan verb with 'ru' ending, Transitive verb, Intransitive verb;поговорить, пообщаться
車道;しゃどう;shadou;roadway;Noun;проезжая часть
社員;しゃいん;shain;company employee​;Noun;сотрудник компании
借金;しゃっきん;shakkin;debt, loan, liabilities;Noun, Suru verb, Transitive verb;долг, кредит, обязательства
詩;し;shi;poem;Noun;стихотворение
幸せ;しあわせ;shiawase;happiness, good fortune;Noun, Na-adjective (keiyodoshi);счастье, удача
芝居;しばい;shibai;play, drama;Noun;Играть, драма
芝生;しばふ;shibafu;lawn;Noun;лужайка
縛る;しばる;shibaru;to tie, to bind, to fasten​;Godan verb with 'ru' ending, Transitive verb;связывать, связать, закрепить
屡々;しばしば;shibashiba;often, again and again;Adverb (fukushi);часто снова и снова
死亡;しぼう;shibou;death, mortality;Noun, Suru verb, Intransitive verb;Смерть, смертность
次第に;しだいに;shidai ni;gradually, in sequence;Adverb (fukushi);Постепенно, в последовательности
指導;しどう;shidou;leadership, guidance;Noun, Suru verb, Transitive verb;Лидерство, руководство
指導者;しどうしゃ;shidousha;leader, guide;Noun;Лидер, гид
刺激;しげき;shigeki;stimulus, impetus;Noun, Suru verb, Transitive verb;Стимул, импульс
資源;しげん;shigen;resources;Noun;ресурсы
支配;しはい;shihai;domination, rule;Noun, Suru verb, Transitive verb;доминирование, правило
支払い;しはらい;shiharai;payment;Noun;оплата
支払う;しはらう;shiharau;to pay;Godan verb with 'u' ending, Transitive verb;заплатить
始発;しはつ;shihatsu;first train, first bus;Noun;Первый поезд, первый автобус
資本;しほん;shihon;funds, capital;Noun;Средства, капитал
詩人;しじん;shijin;poet;Noun;поэт
然も;しかも;shika mo;moreover, furthermore;Conjunction;Более того, кроме того
式;しき;shiki;equation, ceremony, style;Noun, Noun, used as a suffix;Уравнение, церемония, стиль
頻りに;しきりに;shikiri ni;frequently, repeatedly;Adverb (fukushi);часто, неоднократно
湿気;しっけ;shikke;moisture, humidity, dampness​;Noun;влага, влажность, сырость
支給;しきゅう;shikyuu;provision, supply;Noun, Suru verb, Transitive verb;предоставление, поставка
姉妹;しまい;shimai;sisters;Noun;сестры
仕舞う;しまう;shimau;to finish, to stop;Godan verb with 'u' ending, Transitive verb;Чтобы закончить, остановиться
締め切り;しめきり;shimekiri;deadline, closing;Noun;Крайний срок, закрытие
占める;しめる;shimeru;to occupy, to hold;Ichidan verb, Transitive verb;Занять, держать
締める;しめる;shimeru;to tie, to fasten, to tighten;Ichidan verb, Transitive verb;связать, закрепить, затянуть
示す;しめす;shimesu;to show, to indicate;Godan verb with 'su' ending, Transitive verb;Чтобы показать, указать
霜;しも;shimo;frost;Noun;мороз
品;ひん;shina;article, item, goods;Noun;Статья, пункт, товары
身長;しんちょう;shinchou;height (of body), stature;Noun;высота (тела), рост
慎重;しんちょう;shinchou;careful, cautious, prudent;Na-adjective (keiyodoshi), Noun;Осторожно, осторожно, осторожно
進学;しんがく;shingaku;entering a higher-level school;Noun, Suru verb, Intransitive verb;Поступление в школу более высокого уровня
信号;しんごう;shingou;signal, traffic light;Noun, Suru verb, Intransitive verb;сигнал, светофорный свет
信じる;しんじる;shinjiru;to believe, to trust;Ichidan verb, Transitive verb;верить, доверять
新幹線;しんかんせん;shinkansen;Shinkansen, bullet train​;Noun;Shinkansen, Bullet Train
神経;しんけい;shinkei;nerve, sensitivity;Noun;нерв, чувствительность
真剣;しんけん;shinken;seriousness, earnestness;Na-adjective (keiyodoshi);Серьезность, серьезность
深刻;しんこく;shinkoku;serious, severe;Na-adjective (keiyodoshi), Noun;Серьезный, тяжелый
信仰;しんこう;shinkou;faith, belief;Noun, Suru verb, Transitive verb;вера, вера
信念;しんねん;shinnen;belief, faith, conviction;Noun;Вера, вера, убеждение
新入生;しんにゅうせい;shinnyuusei;new student, freshman;Noun;Новый студент, первокурсник
審判;しんぱん;shinpan;refereeing, trial;Noun, Suru verb, Transitive verb;Судья, суд
進歩;しんぽ;shinpo;progress, advance;Noun, Suru verb, Intransitive verb;прогресс, продвижение
信頼;しんらい;shinrai;reliance, trust;Noun, Suru verb, Transitive verb;Опора, доверие
心理;しんり;shinri;state of mind, mentality;Noun;состояние ума, менталитет
森林;しんりん;shinrin;forest, woods​;Noun, Noun which may take the genitive case particle 'no';Лес, лес
診察;しんさつ;shinsatsu;medical examination;Noun, Suru verb, Transitive verb;Медицинское обследование
親戚;しんせき;shinseki;relative, relation;Noun;относительный, отношение
新鮮;しんせん;shinsen;fresh;Na-adjective (keiyodoshi);свежий
信用;しんよう;shin’you;confidence, credit;Noun, Suru verb, Transitive verb;Доверие, кредит
親友;しんゆう;shin’yuu;close friend;Noun;близкий друг
心臓;しんぞう;shinzou;heart, guts, nerve;Noun;Сердце, кишки, нерв
調べ物;しらべもの;shirabemono;matter to be checked or investigated​;Noun;вопрос для проверки или расследования
知らせ;しらせ;shirase;news, notice;Noun;Новости, обратите внимание
尻;しり;shiri;buttocks, bottom;Noun;Ягодицы, внизу
知り合い;しりあい;shiriai;acquaintance;Noun;знакомство
知り合う;しりあう;shiriau;to get to know (someone);Godan verb with 'u' ending, Intransitive verb;Чтобы узнать (кто -то)
城;しろ;shiro;castle;Noun;замок
印;しるし;shirushi;seal, stamp, mark;Noun;Печать, штамп, Марк
資料;しりょう;shiryou;materials, data, document​;Noun;Материалы, данные, документ
姿勢;しせい;shisei;posture, attitude;Noun;осанка, отношение
試食;ししょく;shishoku;sampling food​;Noun, Suru verb, Transitive verb;выборка еды
支出;ししゅつ;shishutsu;expenditure;Noun, Suru verb, Transitive verb;расходы
思想;しそう;shisou;thought, idea;Noun;мысль, идея
舌;した;shita;tongue;Noun;язык
従う;したがう;shitagau;to abide (by the rules);Godan verb with 'u' ending, Intransitive verb;пребывать (по правилам)
親しい;したしい;shitashii;intimate, close;I-adjective (keiyoushi);интимный, близкий
指定;してい;shitei;assignment, appointment;Noun, Suru verb, Transitive verb;назначение, назначение
支店;してん;shiten;branch office;Noun;филиал
質;しつ;shitsu;quality, value;Noun, Noun, used as a suffix;качество, стоимость
失望;しつぼう;shitsubou;disappointment, despair;Noun, Suru verb, Intransitive verb;разочарование, отчаяние
湿度;しつど;shitsudo;level of humidity​;Noun;Уровень влажности
失業;しつぎょう;shitsugyou;unemployment;Noun;безработица
室内;しつない;shitsunai;indoor, inside the room​;Noun, Noun which may take the genitive case particle 'no';в помещении, внутри комнаты
市役所;しやくしょ;shiyakusho;municipal office, city hall​;Noun;Муниципальный офис, мэрия
使用;しよう;shiyou;use, application;Noun, Suru verb, Transitive verb;Использовать, приложение
自然;しぜん;shizen;nature, natural;Noun;Природа, естественный
沈む;しずむ;shizumu;to sink, to go under;Godan verb with 'mu' ending, Intransitive verb;погрузиться, идти
食器;しょっき;shokki;tableware;Noun;посуда
職;しょく;shoku;job, work, employment;Noun, Noun, used as a suffix;работа, работа, занятость
職場;しょくば;shokuba;place of work, workplace;Noun;Место работы, рабочее место
植物;しょくぶつ;shokubutsu;plant, vegetation;Noun;растение, растительность
職業;しょくぎょう;shokugyou;occupation, business;Noun;занятие, бизнес
食品;しょくひん;shokuhin;food, foodstuff;Noun;Еда, еда
食物;しょくもつ;shokumotsu;food, foodstuff;Noun;Еда, еда
食卓;しょくたく;shokutaku;dining table;Noun, Noun which may take the genitive case particle 'no';обеденный стол
食欲;しょくよく;shokuyoku;appetite (for food);Noun;аппетит (для еды)
食料;しょくりょう;shokuryou;food;Noun;еда
食糧;しょくりょう;shokuryou;provisions, food supply;Noun;положения, продовольствие
署名;しょめい;shomei;signature;Noun, Suru verb, Intransitive verb;подпись
書物;しょもつ;shomotsu;books;Noun;книги
処理;しょり;shori;processing, dealing with;Noun, Suru verb, Transitive verb;Обработка, дело с
書類;しょるい;shorui;documents, official papers;Noun;Документы, официальные документы
書斎;しょさい;shosai;study, library;Noun;Изучение, библиотека
章;しょう;shou;chapter, section;Noun;Глава, раздел
賞;しょう;shou;prize, award;Noun, Noun, used as a suffix;Приз, награда
商売;しょうばい;shoubai;trade, business;Noun, Suru verb, Intransitive verb;торговля, бизнес
消防;しょうぼう;shoubou;fire fighting;Noun;Огненная борьба
承知;しょうち;shouchi;knowledge, awareness;Noun, Suru verb, Transitive verb;Знание, осведомленность
障害;しょうがい;shougai;obstacle, impediment;Noun, Suru verb, Transitive verb;препятствие, препятствие
奨学金;しょうがくきん;shougakukin;scholarship;Noun;стипендия
小学生;しょうがくせい;shougakusei;primary school student;Noun;ученик начальной школы
正午;しょうご;shougo;noon, midday;Noun, Adverb (fukushi);Полдень, полдень
消費;しょうひ;shouhi;consumption, expenditure;Noun, Suru verb, Transitive verb;потребление, расходы
商品;しょうひん;shouhin;commodity, goods;Noun;Товар, товары
正直;しょうじき;shoujiki;honesty, integrity;Na-adjective (keiyodoshi), Noun;Честность, целостность
生じる;しょうじる;shoujiru;to produce, to yield;Ichidan verb, Transitive verb;производить, уступить
少女;しょうじょ;shoujo;little girl, young lady;Noun;Маленькая девочка, молодая леди
症状;しょうじょう;shoujou;symptoms, condition;Noun;Симптомы, состояние
証明;しょうめい;shoumei;proof, verification;Noun, Suru verb, Transitive verb;Доказательство, проверка
少年;しょうねん;shounen;boy, juvenile;Noun;Мальчик, несовершеннолетний
商人;しょうにん;shounin;trader, merchant;Noun;Трейдер, торговец
承認;しょうにん;shounin;recognition, acknowledgement;Noun, Suru verb, Transitive verb;Признание, подтверждение
小説家;しょうせつか;shousetsuka;novelist, fiction writer​;Noun;Романист, художественный писатель
少々;しょうしょう;shoushou;just a minute;Adverb (fukushi), Noun;всего минуту
衝突;しょうとつ;shoutotsu;collision, crash;Noun, Suru verb, Intransitive verb;столкновение, аварий
出張;しゅっちょう;shucchou;official tour, business trip;Noun, Suru verb, Intransitive verb;Официальный тур, деловая поездка
主張;しゅちょう;shuchou;claim, insistence;Noun, Suru verb, Transitive verb;утверждение, настойчивость
手段;しゅだん;shudan;means, way, measure;Noun;означает, путь, измерение
主婦;しゅふ;shufu;housewife, mistress;Noun;Домохозяйка, любовница
主義;しゅぎ;shugi;principle, rule, doctrine;Noun;Принцип, правило, доктрина
手術;しゅじゅつ;shujutsu;surgical operation;Noun, Suru verb, Transitive verb;хирургическая операция
瞬間;しゅんかん;shunkan;moment, instant, second;Noun;момент, мгновенный, второй
出勤;しゅっきん;shukkin;going to work, leaving for work;Noun, Suru verb, Intransitive verb;собираюсь работать, уходя на работу
縮小;しゅくしょう;shukushou;reduction, curtailment​;Noun, Suru verb, Transitive verb, Intransitive verb;сокращение, сокращение
種類;しゅるい;shurui;variety, kind, type;Noun;Разнообразие, добрый, тип
首相;しゅしょう;shushou;Prime Minister;Noun;премьер-министр
首都;しゅと;shuto;capital city;Noun;столица
宿泊;しゅくはく;shukuhaku;lodging;Noun, Suru verb, Intransitive verb;проживание
出版;しゅっぱん;shuppan;publication;Noun, Suru verb, Transitive verb;публикация
主要;しゅよう;shuyou;chief, main, principle;Na-adjective (keiyodoshi), Noun;Главный, главный, принцип
出身;しゅっしん;shusshin;person’s origin;Noun;происхождение человека
集中;しゅうちゅう;shuuchuu;concentration;Noun, Suru verb, Transitive verb, Intransitive verb;концентрация
集団;しゅうだん;shuudan;group, mass;Noun;Группа, масса
集合;しゅうごう;shuugou;gathering, assembly, meeting​;Noun, Suru verb;Сбор, собрание, встреча
周囲;しゅうい;shuui;surroundings, environs;Noun, Noun which may take the genitive case particle 'no';Окружение, окрестности
収穫;しゅうかく;shuukaku;harvest, crop;Noun, Suru verb, Transitive verb;Урожай, урожай
週間;しゅうかん;shuukan;week;Noun;неделя
週刊;しゅうかん;shuukan;weekly publication​;Noun, Noun which may take the genitive case particle 'no';Еженедельная публикация
宗教;しゅうきょう;shuukyou;religion;Noun;религия
週末;しゅうまつ;shuumatsu;weekend;Adverb (fukushi), Noun;выходные
収入;しゅうにゅう;shuunyuu;income, revenue;Noun;доход, доход
修理;しゅうり;shuuri;repairing, mending;Noun, Suru verb, Transitive verb;ремонт, починка
